Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C14, C15, C2, C3, C4, C6, C7, C9",0603,10,100n,
"C11, C12, C13, C16, C5, C8",CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,6,10u,C7177
D1,D_SOD-323_HandSoldering,1,BAT60A,C124187
"D2, D4, D6",0603,3,LED,
D5,D_SOD-323_HandSoldering,1,BAT60A,
J2,USB_C,1,USB_C_Receptacle_USB2.0,C2760486
"Q1, Q6",SOT-23,2,BC847,
"Q10, Q3, Q5, Q8",SOT-223,4,IRLL2705,C151552
"R1, R11, R12, R17, R19, R4, R5, R6",0603,8,10k,
"R10, R9",0603,2,5k1,
"R13, R15",0603,2,1k,
"R14, R16, R2, R3, R7, R8",0603,6,100R,
R18,0603,1,5k,
R20,0603,1,220R,
SW1,SW_SPST_B3U-1000P,1,SW_RESET,C843669
SW2,SW_SPST_B3U-1000P,1,SW_BOOT,C843669
U1,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,C84681
U3,TO-263-3_TabPin2,1,L7805,C507146
U4,ESP32-WROOM-32,1,ESP32-WROOM-32,C82899
U5,SOT-223-3_TabPin2,1,NCP1117-3.3,C369933
