Designator,Mid X,Mid Y,Rotation,Layer
C1,56.0,17.25,90.0,top
C10,91.9375,36.0,0.0,top
C11,91.1875,40.9,180.0,top
C12,91.1875,38.5,180.0,top
C13,62.75,41.15,270.0,top
C14,66.0,46.4,0.0,top
C15,69.3625,46.4,0.0,top
C16,72.75,41.15,270.0,top
C2,80.0,42.5,0.0,top
C3,80.0,7.5,0.0,top
C4,88.4375,36.0,180.0,top
C5,37.0,38.75,270.0,top
C6,35.0,39.75,90.0,top
C7,35.0,43.25,270.0,top
C8,37.0,44.25,90.0,top
C9,68.75,22.75,270.0,top
D1,43.5,6.5,270.0,top
D2,54.5,28.25,90.0,top
D4,48.5,28.25,90.0,top
D5,41.25,35.25,0.0,top
D6,69.375,36.0,180.0,top
J2,50.0,3.75,0.0,top
Q1,66.9375,15.95,180.0,top
Q10,31.5,7.75,180.0,top
Q3,31.5,30.25,180.0,top
Q5,31.5,22.75,180.0,top
Q6,66.9375,12.45,180.0,top
Q8,31.5,15.25,180.0,top
R1,62.4375,14.2,90.0,top
R10,56.25,3.25,270.0,top
R11,26.25,15.25,90.0,top
R12,20.5,7.75,90.0,top
R13,52.25,24.0,90.0,top
R14,87.0,13.0,90.0,top
R15,50.75,24.0,90.0,top
R16,88.5,13.0,90.0,top
R17,87.6875,39.75,270.0,top
R18,80.0,9.0,0.0,top
R19,70.25,22.75,90.0,top
R2,38.0,33.0,180.0,top
R20,66.0,36.0,0.0,top
R3,38.1625,25.5,180.0,top
R4,26.25,30.25,90.0,top
R5,20.5,22.75,90.0,top
R6,63.9375,14.2,270.0,top
R7,38.0,18.0,180.0,top
R8,38.0,10.5,180.0,top
R9,56.25,6.75,270.0,top
SW1,80.0,45.0,90.0,top
SW2,80.0,5.0,90.0,top
U1,50.0,17.25,180.0,top
U3,24.0,41.5,180.0,top
U4,84.0,25.0,270.0,top
U5,67.75,41.25,90.0,top
